"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2016&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:19:05 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"350 Clark Solar, NG, LLC",61224,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"4 Applegate Solar LLC",59370,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"433 Purchase Solar NG, LLC",61237,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"45 Mile Hydroelectric Project",58455,"OR","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"491 E 48th Street",7268,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"4Oaks",59534,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500 Virginia Solar",57640,"PA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500MW CC",56196,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"510 REPP One",57363,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"59th Street",2503,"NY","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"651 Chase Solar NG",59046,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"74th Street",2504,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"85 A",52162,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"85 B",52163,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"99 Islands",3272,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A B Brown",6137,"IN","Electric Utility","GT, ST","BIT, NG","Multiple"
"A G Wishon",293,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A L Pierce",6635,"CT","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"ABC Coke",56076,"AL","Industrial CHP","ST","OG","Other Gases"
"ABEC Bidart-Old River LLC",58699,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"AC Criminal Courts Complex SPE2, LLC",58798,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"AC Landfill Energy LLC",57845,"NJ","IPP Non-CHP","IC","LFG","Landfill Gas"
"ACCC Mays Landing",60802,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACI Energy Partners LLC",58442,"NJ","IPP CHP","--","--","--"
"ADA Carbon Solutions Red River",57938,"LA","Industrial CHP","ST","WH","All Other"
"ADS Renewable Energy-Wolf Creek LLC",60184,"GA","IPP Non-CHP","IC","LFG","Landfill Gas"
"AEP Bluffton NaS",60618,"OH","Electric Utility","BA","MWH","Batteries"
"AEP Churubusco NaS",60617,"IN","Electric Utility","BA","MWH","Batteries"
"AEP Milton NaS",59995,"WV","Electric Utility","BA","MWH","Batteries"
"AES ADA Energy Storage Array",60811,"PA","IPP Non-CHP","BA","MWH","Batteries"
"AES Alamitos LLC",315,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES ES Tait",58826,"OH","IPP Non-CHP","BA","MWH","Batteries"
"AES Hawaii",10673,"HI","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Huntington Beach LLC",335,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Petersburg",994,"IN","Electric Utility","IC, ST","BIT, DFO","Multiple"
"AES Puerto Rico",61082,"PR","IPP Non-CHP","--","--","--"
"AES Redondo Beach LLC",356,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Warrior Run Energy Storage Project",59949,"MD","IPP Non-CHP","BA","MWH","Batteries"
"AFA Solar Farm",57554,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AG Processing Inc",10223,"IA","Industrial CHP","--","--","--"
"AIS Solar Project",60986,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AL Sandersville LLC",55672,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"AM Best Farm",58344,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AMEA Peaking",56018,"AL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"AMP Napoleon Solar Facility",58082,"OH","Electric Utility","PV","SUN","Solar Photovoltaic"
"ANP Bellingham Energy Project",55211,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"ANP Blackstone Energy Project",55212,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"AP North Lake I, LP",59610,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"APG Combined Heat and Power Plant",61282,"MD","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"ASTI",58889,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AT&T Anaheim",61154,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T Holger",61153,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AV Solar Ranch One",57378,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AVS Lancaster 1",60085,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Abbott TP 3",3581,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aberdeen CT",3338,"SD","Electric Utility","GT","DFO, NG","Multiple"
"Abiquiu Dam",7789,"NM","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Acadia Energy Center",55173,"LA","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Acton Solar Landfill",59543,"MA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"Actus Lend Lease DMAFB",58632,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet AD Makepeace",58270,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet Hawes Reed Road",58271,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet- High Hill",59128,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet-Braley Road 1",59121,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ada Cogeneration LP",10819,"MI","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ada Dam",50433,"MI","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Adair Wind Farm",56810,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Adams Ave MS and HS",60772,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Community Solar Garden III LLC",59850,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Community Solar Garden LLC",59849,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Farm Solar",59775,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Wind",59637,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Adams Wind Farm",56307,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Adams Wind Generations LLC",57375,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Adelanto Solar II, LLC",59440,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adelanto Solar Project",57305,"CA","Electric Utility","PV","SUN","Solar Photovoltaic"
"Adelanto Solar, LLC",59441,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adera Solar",60027,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adkins Energy LLC",58136,"IL","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Adobe San Jose",57811,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"Adobe Solar",57651,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adrian",1956,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Adrian Energy Associates LLC",54903,"MI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Advance Stores Company, Inc",59788,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aeolus Wind Facility",56225,"TX","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Aerojet I",57697,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aerojet II",57698,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Afton Generating Station",55210,"NM","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Agassiz Beach LLC",55576,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agawam Solar",59028,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Agnews Power Plant",50748,"CA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"AgriReNew",59181,"IA","IPP CHP","GT","OBG","Other Waste Biomass"
"Agrilectric Power Partners Ltd",10593,"LA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Agrium Kenai Nitrogen Operations",54452,"AK","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Agriwind",56408,"IL","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agua Caliente Solar Project",57373,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Agua Fria",141,"AZ","Electric Utility","GT, PV, ST","NG, SUN","Multiple"
"Agua Mansa Power Plant",55951,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Aguirre Plant",61146,"PR","Electric Utility","--","--","--"
"Aidlin Geothermal Power Plant",52158,"CA","IPP Non-CHP","ST","GEO","Geothermal"
"Ainsworth Wind",56162,"NE","Electric Utility","WT","WND","Onshore Wind Turbine"
"Air Products Port Arthur",55309,"TX","Industrial CHP","GT, ST","NG","Multiple"
"Airport 1 Solar (DIA)",59807,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Airport Industrial",7995,"CO","Electric Utility","IC","DFO","Petroleum Liquids"
"Akron Recycle Energy Plant",54265,"OH","Commercial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Akron WRF",58980,"OH","Commercial CHP","IC","OBG","Other Waste Biomass"
"Al Turi",10549,"NY","IPP Non-CHP","IC","LFG","Landfill Gas"
"Alabama Pine Pulp",54429,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alabama River Pulp",10216,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alakanuk",57053,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Alameda",7450,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alamo",905,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alamo Solar",59469,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alamogordo Solar Energy Center",57577,"NM","Electric Utility","PV","SUN","Solar Photovoltaic"
"Alamosa",464,"CO","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Albany",2113,"MO","Electric Utility","IC","DFO","Petroleum Liquids"
"Albany Medical Ctr Cogen Plant",59453,"NY","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Albany Solar",60519,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albemarle Hospital Unit",56339,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albemarle Prime Power Park",56263,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albemarle Solar Center LLC",58806,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albeni Falls",851,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Albertson Solar LLC",59901,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albertville",7924,"AL","Electric Utility","IC","DFO","Petroleum Liquids"
"Albuquerque Solar Energy Center",57567,"NM","Electric Utility","PV","SUN","Solar Photovoltaic"
"Alcona",1693,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alcova",6409,"WY","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alden Bailey Power Plant",56223,"OR","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alder",3913,"WA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alethea I",58519,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alexander",4060,"WI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alexander Wind Farm LLC",58666,"KS","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alexandria",1958,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Algodones",2475,"NM","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Algona",1120,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Algonquin Power Sanger LLC",57564,"CA","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Algonquin SKIC20 Solar LLC",59412,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Algonquin Windsor Locks",10567,"CT","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Alice Falls Hydro Project",54391,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Alicia Dock",8865,"PA","Electric Utility","--","--","--"
"Aliso Water Management Agency",10820,"CA","Commercial CHP","--","--","--"
"Allatoona",760,"GA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegan Dam",1694,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegany Cogen",7784,"NY","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Energy Units 3 4 & 5",55710,"PA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Hydro No 8",50897,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Hydro No 9",50898,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No 6 Hydro Station",50894,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No. 5 Hydro Station",50893,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Ridge Wind Farm",56451,"PA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allen",3393,"TN","Electric Utility","GT, ST","NG, SUB","Multiple"
"Allen S King",1915,"MN","Electric Utility","ST","SUB","Conventional Steam Coal"
"Allendale Biomass",58706,"SC","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Allendorf",56215,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allens Falls",2540,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allenwood",57581,"PA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Alliance Refinery",52031,"LA","Industrial Non-CHP","OT, ST","OG","Other Gases"
"Alliant Energy Neenah",55135,"WI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alliant SBD 8501 Aegon LI",54714,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 8601 Quad Graphics",54720,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 8602 Marion Sub",54716,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9106 Rockwell CR",54717,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9107 JBS USA",54715,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9201 Norplex",54712,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9203 Profol",54719,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9205 A Y McDonald",54710,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9206 Donaldson",54718,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9301 Prairie Farms",54735,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9302 Aegon NP",54967,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9403 Aegon DC",54929,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9502 Eaton",54968,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9901 Wells Fargo",56074,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD0201 Ingredion",55996,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBG 9802 Toyota",56073,"IA","IPP Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"Allison Creek Hydro",58982,"AK","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Almond Power Plant",7315,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alpaugh 50",58003,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alpaugh North",58002,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alpena Cement Plant",50305,"MI","Industrial CHP","ST","PC","Petroleum Coke"
"Alpha Ridge LFG",58252,"MD","IPP Non-CHP","IC","LFG","Landfill Gas"
"Alpine Power Plant",59926,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alpine Solar",57295,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alsey",7818,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alta Municipal Utilities",1121,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Alta Powerhouse",214,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alta Wind Energy Center I",57282,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind Energy Center II",57291,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind Energy Center III",57292,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind Energy Center IV",57293,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind Energy Center V",57294,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind VIII",57835,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind X",58394,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alta Wind XI",58395,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"AltaGas Pomona Energy Inc.",50300,"CA","IPP Non-CHP","BA, GT","MWH, NG","Multiple"
"AltaGas Ripon Energy Inc.",50299,"CA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Altamont",7990,"IL","Electric Utility","IC","DFO","Petroleum Liquids"
"Altamont Gas Recovery",50571,"CA","IPP Non-CHP","GT, IC","LFG","Landfill Gas"
"Altamont Midway Ltd",50001,"CA","IPP Non-CHP","--","--","--"
"Altavista Power Station",10773,"VA","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Altech III",50485,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Amalgamated Sugar LLC Nampa",54690,"ID","Industrial CHP","ST","NG","Natural Gas Steam Turbine"
"Amalgamated Sugar Twin Falls",10504,"ID","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Amazon",58357,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"Amazon San Bernardino",59800,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"Ambler",60243,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Amedee Geothermal Venture I",50964,"CA","IPP Non-CHP","ST","GEO","Geothermal"
"Amelia",56681,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Butte County",57771,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Chicopee Energy",56426,"MA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Chiquita Canyon",56898,"CA","IPP Non-CHP","GT","LFG","Landfill Gas"
"Ameresco Dallas LLC",58946,"TX","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Delaware Central",56430,"DE","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Delaware South",56429,"DE","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Forward",58437,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Janesville",56427,"WI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Jefferson City",56896,"MO","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Johnson Canyon",58397,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Keller Canyon",56897,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Ox Mountain",56895,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco San Joaquin",58436,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Santa Cruz Energy",56428,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Stafford",56894,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Vasco Road",58435,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"American Crystal Sugar Crookston",54212,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Drayton",54213,"ND","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar East Grand Forks",54214,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Hillsboro",54210,"ND","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Moorhead",54211,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Eagle Paper Mills",50284,"PA","Industrial CHP","--","--","--"
"American Falls",809,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"American Gypsum Cogeneration",54630,"CO","Industrial CHP","GT, IC","DFO, NG","Multiple"
"Ames Electric Services Power Plant",1122,"IA","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Ames GT",6463,"IA","Electric Utility","GT","DFO","Petroleum Liquids"
"Ames Hydro",6207,"CO","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Amethyst Solar",58730,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Amherst College Co Gen",58185,"MA","Commercial CHP","GT, ST","NG","Multiple"
"Amistad Dam & Power",6128,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Amoskeag",2354,"NH","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Ampersand Chowchilla Biomass LLC",56706,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Amphitheater High School Solar",60684,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Anacacho Wind Farm, LLC",58000,"TX","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Anadarko",2945,"OH","Electric Utility","IC","DFO","Petroleum Liquids"
"Anadarko Plant",3006,"OK","Electric Utility","CS, GT, ST","NG","Multiple"
"Anaheim GT",7693,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anaheim Solar Energy Plant",59416,"CA","Electric Utility","PV","SUN","Solar Photovoltaic"
"Anchor Wind, LLC",58044,"IA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Anchorage 1",75,"AK","Electric Utility","GT, IC","DFO, NG","Multiple"
"Anclote",8048,"FL","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Anderson",7336,"IN","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anderson Erickson",56138,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Anderson Farm LLC",59115,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Anderson Power Products Division",10553,"MA","Industrial Non-CHP","IC","DFO","Petroleum Liquids"
"Anderson Ranch",6395,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Anderson Regional Landfill",56121,"SC","Electric Utility","IC","LFG","Landfill Gas"
"Anderson Wind I",58939,"NM","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Anderson Wind II",58940,"NM","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Andrew Solar",59497,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Androscoggin 3",1480,"ME","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Androscoggin Energy Center",55031,"ME","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Androscoggin Mill",54085,"ME","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Angel Solar",58731,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Angels",215,"CA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Angier Farm",58867,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Angoon",7462,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Angus Anson",7237,"SD","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anheuser-Busch #2",59331,"CA","Industrial Non-CHP","WT","WND","Onshore Wind Turbine"
"Anheuser-Busch Jacksonville",10431,"FL","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Anheuser-Busch St Louis",10430,"MO","Industrial CHP","ST","NG","Natural Gas Steam Turbine"
