"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2009&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 16:59:17 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"1515 S Caron Road",7770,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"191 Peachtree Tower",54818,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"1st Energy",8812,"VA","Electric Utility","--","--","--"
"2 AC Station",10211,"IN","Industrial CHP","--","--","--"
"491 E 48th Street",7268,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"5 in 1 Dam Hydroelectric",10171,"IA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"500MW CC",56196,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"59th Street",2503,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"74th Street",2504,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"85 A",52162,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"85 B",52163,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"99 Islands",3272,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A B Brown",6137,"IN","Electric Utility","GT, ST","BIT, NG","Multiple"
"A B Paterson",1407,"LA","Electric Utility","GT, ST","DFO, NG","Multiple"
"A G Wishon",293,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A L Pierce",6635,"CT","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"ABC Coke",56076,"AL","Industrial CHP","ST","OG","Other Gases"
"ACE Cogeneration Facility",10002,"CA","IPP CHP","ST","BIT","Conventional Steam Coal"
"AD Srvcs Glacier Ridge Landfill, LLC",55817,"WI","Commercial Non-CHP","IC","LFG","Landfill Gas"
"AES Alamitos LLC",315,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Beaver Valley Partners Beaver Valley",10676,"PA","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Deepwater",10670,"TX","IPP CHP","ST","PC","Petroleum Coke"
"AES Hawaii",10673,"HI","IPP CHP","ST","SUB","Conventional Steam Coal"
"AES Huntington Beach LLC",335,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Petersburg",994,"IN","Electric Utility","IC, ST","BIT, DFO","Multiple"
"AES Redondo Beach LLC",356,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Thames",10675,"CT","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","ST","BIT","Conventional Steam Coal"
"AG Processing Inc",10223,"IA","Industrial CHP","ST","SUB","Conventional Steam Coal"
"AL Sandersville LLC",55672,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"AMEA Peaking",56018,"AL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"ANP Bellingham Energy Project",55211,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"ANP Blackstone Energy Project",55212,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"Abbott TP 3",3581,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aberdeen CT",3338,"SD","Electric Utility","GT","DFO","Petroleum Liquids"
"Abilene Energy Center Combustion Turbine",1251,"KS","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Abiquiu Dam",7789,"NM","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Acadia Energy Center",55173,"LA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ada Cogeneration LP",10819,"MI","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ada Dam",50433,"MI","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Adair Wind Farm",56810,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Adams Wind Farm",56307,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Adrian",1956,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Adrian Energy Associates LLC",54903,"MI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Aeolus Wind Facility",56225,"TX","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Aera South Belridge Cogen Facility",55185,"CA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Aeroturbine",56214,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Afton Generating Station",55210,"NM","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Agassiz Beach LLC",55576,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agency GT",7706,"IA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Agnews Power Plant",50748,"CA","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Agrilectric Power Partners Ltd",10593,"LA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Agrium Kenai Nitrogen Operations",54452,"AK","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Agriwind",56408,"IL","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agua Fria",141,"AZ","Electric Utility","GT, PV, ST","NG, SUN","Multiple"
"Agua Mansa Power Plant",55951,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Aidlin Geothermal Power Plant",52158,"CA","IPP Non-CHP","ST","GEO","Geothermal"
"Ainsworth Wind",56162,"NE","Electric Utility","WT","WND","Onshore Wind Turbine"
"Air Products Port Arthur",55309,"TX","IPP CHP","CA, CT","NG, OG","Multiple"
"Airport Industrial",7995,"CO","Electric Utility","IC","DFO","Petroleum Liquids"
"Akron Recycle Energy Plant",54265,"OH","Commercial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Alabama Pine Pulp",54429,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alabama River Pulp",10216,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alakanuk",57053,"AK","Electric Utility","IC","JF","Petroleum Liquids"
"Alameda",7450,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alamo",905,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alamosa",464,"CO","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Albany",2113,"MO","Electric Utility","IC","DFO","Petroleum Liquids"
"Albany Paper Mill",54944,"OR","Industrial CHP","GT, ST","BLQ, NG","Multiple"
"Albemarle Hospital Unit",56339,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albemarle Prime Power Park",56263,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albeni Falls",851,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Albertville",7924,"AL","Electric Utility","IC","DFO","Petroleum Liquids"
"Alcona",1693,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alcova",6409,"WY","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alden Bailey Power Plant",56223,"OR","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alder",3913,"WA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alexander",4060,"WI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alexandria",1958,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Algodones",2475,"NM","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Algona",1120,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Algonquin Windsor Locks",10567,"CT","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Alice Falls Hydro Project",54391,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Aliso Water Management Agency",10820,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Allatoona",760,"GA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegan Dam",1694,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegany Cogen",7784,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Energy Units 3 4 & 5",55710,"PA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Hydro No 8",50897,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Hydro No 9",50898,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No 6 Hydro Station",50894,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No. 5 Hydro Station",50893,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Ridge Wind Farm",56451,"PA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allen",3393,"TN","Electric Utility","GT, ST","NG, SUB","Multiple"
"Allen S King",1915,"MN","Electric Utility","ST","SUB","Conventional Steam Coal"
"Allendorf",56215,"IA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allens Falls",2540,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Alliance Refinery",52031,"LA","Industrial Non-CHP","OT, ST","NG","Multiple"
"Alliant Energy Neenah",55135,"WI","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Alliant SBD 8501 Aegon LI",54714,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 8601 Quad Graphics",54720,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 8602 Marion Sub",54716,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9106 Rockwell CR",54717,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9107 JBS USA",54715,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9201 Norplex",54712,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9203 Profol",54719,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9205 A Y McDonald",54710,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9206 Donaldson",54718,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9301 Prairie Farms",54735,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9302 Aegon NP",54967,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9402 Climax",54930,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9403 Aegon DC",54929,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9502 Eaton",54968,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9801 Aegon Martha's Way",56072,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD 9901 Wells Fargo",56074,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBD0201 Ingredion",55996,"IA","IPP Non-CHP","IC","DFO","Petroleum Liquids"
"Alliant SBG 9802 Toyota",56073,"IA","IPP Non-CHP","IC","NG","Natural Gas Internal Combustion Engine"
"Alliant Techsystems",7376,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Alloy Steam Station",50012,"WV","Industrial Non-CHP","ST","BIT","Conventional Steam Coal"
"Alma",4140,"WI","Electric Utility","ST","BIT","Conventional Steam Coal"
"Almond Power Plant",7315,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alpena Cement Plant",50305,"MI","Industrial CHP","ST","PC","Petroleum Coke"
"Alsey",7818,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alta Municipal Utilities",1121,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Alta Powerhouse",214,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"AltaGas Pomona Energy Inc.",50300,"CA","IPP CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"AltaGas Ripon Energy Inc.",50299,"CA","IPP CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Altamont",7990,"IL","Electric Utility","IC","DFO","Petroleum Liquids"
"Altamont Gas Recovery",50571,"CA","IPP Non-CHP","GT, IC","LFG","Landfill Gas"
"Altamont Midway Ltd",50001,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Altamont Pass Windplant",50712,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Altavista Power Station",10773,"VA","Electric Utility","ST","BIT","Conventional Steam Coal"
"Altech III",50485,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alvarado Hydro Facility",54242,"CA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Amalgamated Sugar LLC Nampa",54690,"ID","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Amalgamated Sugar Twin Falls",10504,"ID","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Amedee Geothermal Venture I",50964,"CA","IPP Non-CHP","ST","GEO","Geothermal"
"Amelia",56681,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Chicopee Energy",56426,"MA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Delaware Central",56430,"DE","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Delaware South",56429,"DE","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Janesville",56427,"WI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Jefferson City",56896,"MO","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Keller Canyon",56897,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Ox Mountain",56895,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Santa Cruz Energy",56428,"CA","IPP Non-CHP","IC","LFG","Landfill Gas"
"Ameresco Stafford",56894,"VA","IPP Non-CHP","IC","LFG","Landfill Gas"
"American Crystal Sugar Crookston",54212,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Drayton",54213,"ND","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar East Grand Forks",54214,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Hillsboro",54210,"ND","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Crystal Sugar Moorhead",54211,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"American Eagle Paper Mills",50284,"PA","Industrial CHP","ST","BIT","Conventional Steam Coal"
"American Falls",809,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"American Gypsum Cogeneration",54630,"CO","Industrial CHP","GT, IC","DFO, NG","Multiple"
"Ames Electric Services Power Plant",1122,"IA","Electric Utility","ST","SUB","Conventional Steam Coal"
"Ames GT",6463,"IA","Electric Utility","GT","DFO","Petroleum Liquids"
"Ames Hydro",6207,"CO","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Amistad Dam & Power",6128,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Amoskeag",2354,"NH","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Ampersand Chowchilla Biomass LLC",56706,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Anadarko",2945,"OH","Electric Utility","IC","DFO","Petroleum Liquids"
"Anadarko Plant",3006,"OK","Electric Utility","CS, GT, ST","NG","Multiple"
"Anaheim GT",7693,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anchorage 1",75,"AK","Electric Utility","GT, IC","DFO, NG","Multiple"
"Anclote",8048,"FL","Electric Utility","ST","RFO","Petroleum Liquids"
"Anderson",7336,"IN","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anderson Erickson",56138,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Anderson Power Products Division",10553,"MA","Industrial Non-CHP","IC","DFO","Petroleum Liquids"
"Anderson Ranch",6395,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Anderson Regional Landfill",56121,"SC","Electric Utility","IC","LFG","Landfill Gas"
"Androscoggin 3",1480,"ME","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Androscoggin Energy Center",55031,"ME","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Androscoggin Mill",54085,"ME","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Angels",215,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Angoon",7462,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Angus Anson",7237,"SD","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Anheuser-Busch Jacksonville",10431,"FL","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Anheuser-Busch St Louis",10430,"MO","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Aniak",7182,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Animas",2465,"NM","Electric Utility","CA, CT, HY, ST","NG, WAT","Multiple"
"Anita",1123,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Annex Creek",62,"AK","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Ansley",2214,"NE","Electric Utility","IC","DFO, NG","Multiple"
"Anson Abenaki Hydros",10186,"ME","Industrial CHP","HY, ST","RFO, WAT","Multiple"
"Anson County Generation Facility",56249,"NC","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Antelope Valley",6469,"ND","Electric Utility","ST","LIG","Conventional Steam Coal"
"Anthony",1258,"KS","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Apache Station",160,"AZ","Electric Utility","CA, CT, GT, ST","NG, SUB","Multiple"
"Apalachia",3394,"TN","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Apex Generating Station",55514,"NV","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Apogee Technology Inc",10159,"PA","Industrial Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Apple River",6231,"WI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Appleton",4043,"WI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aqua Ingrams Mill",57280,"PA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aragonne Wind LLC",56336,"NM","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Arapahoe",465,"CO","Electric Utility","ST","SUB","Conventional Steam Coal"
"Arapahoe Combustion Turbine Project",55200,"CO","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Arcadia Electric",4100,"WI","Electric Utility","IC","DFO","Petroleum Liquids"
"Arcanum",2902,"OH","Electric Utility","IC","DFO","Petroleum Liquids"
"Arcanum Peaking",7781,"OH","Electric Utility","IC","DFO","Petroleum Liquids"
"ArcelorMittal Burns Harbor",10245,"IN","Industrial CHP","ST","BFG","Other Gases"
"ArcelorMittal Indiana Harbor West",10397,"IN","Industrial CHP","ST","BFG","Other Gases"
"ArcelorMittal Warren",54207,"OH","Industrial CHP","ST","BFG","Other Gases"
"Arcelormittal Cleveland Inc",10398,"OH","Industrial CHP","ST","BFG","Other Gases"
"Archbald Power Station",50279,"PA","IPP CHP","GT, ST","LFG, NG","Multiple"
"Archer Daniels Midland Cedar Rapids",10864,"IA","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Archer Daniels Midland Clinton",10860,"IA","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Archer Daniels Midland Decatur",10865,"IL","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Archer Daniels Midland Des Moines",10861,"IA","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Archer Daniels Midland Lincoln",10862,"NE","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Archer Daniels Midland Mankato",10863,"MN","Industrial CHP","ST","SUB","Conventional Steam Coal"
"Archer Daniels Midland Peoria",10866,"IL","Industrial CHP","GT, ST","BIT, NG","Multiple"
"Archer Daniels Midland Southport",54316,"NC","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Argus Cogen Plant",10684,"CA","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Argyle",7810,"WI","Electric Utility","HY, IC","DFO, WAT","Multiple"
"Arkansas Nuclear One",8055,"AR","Electric Utility","ST","NUC","Nuclear"
"Arlington Valley Energy Facility",55282,"AZ","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Arlington Wind Power Project",56855,"OR","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Armenia Mountain Wind Farm",57044,"PA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Armstrong",55347,"PA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Arnold",2216,"NE","Electric Utility","IC","DFO","Petroleum Liquids"
"Arpin Dam",3995,"WI","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Arsenal Hill",1416,"LA","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Arthur Kill Generating Station",2490,"NY","IPP Non-CHP","GT, ST","NG","Multiple"
"Arthur Von Rosenberg",7512,"TX","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Arvada",8028,"WY","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Arvah B Hopkins",688,"FL","Electric Utility","CA, CT, GT, ST","NG","Multiple"
"Asbury",2076,"MO","Electric Utility","ST","SUB","Conventional Steam Coal"
"Asbury Park Press",10157,"NJ","Industrial CHP","IC","NG","Natural Gas Internal Combustion Engine"
"Ascend Performance Materials Texas Inc.",10418,"TX","Industrial CHP","ST","OG","Other Gases"
"Ascutney",3708,"VT","Electric Utility","GT","DFO","Petroleum Liquids"
"Ashdown",54104,"AR","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Asheville",2706,"NC","Electric Utility","GT, ST","BIT, NG","Multiple"
"Ashland",1259,"KS","Electric Utility","IC","DFO, NG","Multiple"
"Ashland Inc",10207,"MO","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Ashokan",88,"NY","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Ashtabula",55990,"OH","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ashtabula Wind Energy Center",57032,"ND","Electric Utility","WT","WND","Onshore Wind Turbine"
"Ashtabula Wind II LLC",57121,"ND","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Ashton",825,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aspen Biomass Power Plant",56931,"TX","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Astoria Energy",55375,"NY","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Astoria Gas Turbines",55243,"NY","IPP Non-CHP","GT","KER, NG","Multiple"
"Astoria Generating Station",8906,"NY","IPP Non-CHP","ST","NG, RFO","Multiple"
"Atascosita",55526,"TX","IPP Non-CHP","IC","LFG","Landfill Gas"
"Athens Generating Plant",55405,"NY","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Athens Regional Medical Center",55319,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"Atlanta Gift Mart LP",54877,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"Atlantic",1124,"IA","Electric Utility","GT, IC","DFO, NG","Multiple"
"Atlantic City Convention Center",56900,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Attala",55220,"MS","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Attica",1260,"KS","Electric Utility","IC","DFO","Petroleum Liquids"
"Auburn",2215,"NE","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Auburn State Street",8009,"NY","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Auburndale Peaker Energy Center",55833,"FL","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Audrain Generating Station",55234,"MO","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Auglaize Hydro",7657,"OH","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Augusta Electric Plant No 1",1261,"KS","Electric Utility","IC","DFO, NG","Multiple"
"Augusta Electric Plant No 2",6791,"KS","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"Auke Bay",7250,"AK","Electric Utility","GT, IC","DFO","Petroleum Liquids"
"Aurora",55279,"IL","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Aurora Energy LLC Chena",79,"AK","IPP CHP","ST","SUB","Conventional Steam Coal"
"Ausra Kimberlina Solar Generation",56943,"CA","IPP Non-CHP","ST","SUN","Solar Thermal without Energy Storage"
"Austin",3594,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Austin Downtown",1960,"MN","Electric Utility","GT, ST","NG","Multiple"
"Austin Gas Recovery",56524,"TX","IPP Non-CHP","IC","LFG","Landfill Gas"
"Austin Northeast",1961,"MN","Electric Utility","ST","BIT","Conventional Steam Coal"
"Autumn Hills LLC",55566,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Avalon Hydropower",54801,"NC","Commercial Non-CHP","HY","WAT","Conventional Hydroelectric"
"Avenue A Generator Sets",7854,"IL","Electric Utility","GT","DFO","Petroleum Liquids"
"Avon Energy Partners LLC",55768,"IL","IPP Non-CHP","IC","LFG","Landfill Gas"
"Avon Lake",2836,"OH","IPP Non-CHP","GT, ST","BIT, DFO","Multiple"
"Avon Park",624,"FL","Electric Utility","GT","DFO, NG","Multiple"
"Axiall Natrium Plant",50491,"WV","Industrial CHP","ST","BIT","Conventional Steam Coal"
"Axiall Plaquemine",55051,"LA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Ayers Island",2355,"NH","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aziscohos Hydroelectric Project",50999,"ME","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Azusa",6449,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"B Braun Medical",50200,"CA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"B C Cobb",1695,"MI","Electric Utility","ST","NG, SUB","Multiple"
"B E Morrow",1696,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"B L England",2378,"NJ","IPP Non-CHP","IC, ST","BIT, DFO, RFO","Multiple"
"B&K Energy Systems LLC",56210,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"BASF Freeport Works",55311,"TX","Industrial CHP","GT, ST","NG","Multiple"
"BC Energy LLC",56624,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"BJ Gas Recovery",54392,"GA","IPP Non-CHP","IC","LFG","Landfill Gas"
"BNWRD",56176,"IL","Electric Utility","IC","DFO","Petroleum Liquids"
"BP Carson Refinery",50540,"CA","Industrial Non-CHP","OT, ST","NG, OTH","Multiple"
"BP Chemicals Green Lake Plant",50404,"TX","Industrial CHP","ST","WH","All Other"
"BP Naperville Cogeneration Facility",50722,"IL","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Baconton Power Plant",55304,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Bad Creek",7125,"SC","Electric Utility","PS","WAT","Hydroelectric Pumped Storage"
